pO2,pCO2,f1,f2
50.45,61.4,-0.0201845,0.0965293
50.45,61.6,-0.020274,0.0972673
50.45,61.8,-0.0203634,0.0980034
50.45,62,-0.0204526,0.0987376
50.45,62.2,-0.0205417,0.09947
50.45,62.4,-0.0206307,0.100201
50.45,62.6,-0.0207195,0.100929
50.45,62.8,-0.0208082,0.101656
50.45,63,-0.0208967,0.102381
50.45,63.2,-0.0209851,0.103105
50.45,63.4,-0.0210733,0.103826
50.45,63.6,-0.0211614,0.104546
50.45,63.8,-0.0212494,0.105264
50.45,64,-0.0213372,0.10598
50.45,64.2,-0.0214249,0.106694
50.45,64.4,-0.0215124,0.107407
50.45,64.6,-0.0215998,0.108118
50.45,64.8,-0.0216871,0.108827
50.45,65,-0.0217742,0.109534
50.45,65.2,-0.0218612,0.11024
50.45,65.4,-0.021948,0.110944
50.45,65.6,-0.0220347,0.111646
50.45,65.8,-0.0221212,0.112347
50.45,66,-0.0222077,0.113046
50.45,66.2,-0.0222939,0.113743
50.45,66.4,-0.0223801,0.114438
50.45,66.6,-0.0224661,0.115132
50.45,66.8,-0.0225519,0.115825
50.45,67,-0.0226376,0.116515
50.45,67.2,-0.0227232,0.117204
50.45,67.4,-0.0228087,0.117891
50.45,67.6,-0.0228939,0.118577
50.45,67.8,-0.0229791,0.119261
50.45,68,-0.0230641,0.119944
50.45,68.2,-0.023149,0.120625
50.45,68.4,-0.0232337,0.121304
50.45,68.6,-0.0233183,0.121982
50.45,68.8,-0.0234028,0.122658
50.45,69,-0.0234871,0.123333
50.45,69.2,-0.0235713,0.124006
50.45,69.4,-0.0236554,0.124677
50.45,69.6,-0.0237393,0.125347
50.45,69.8,-0.0238231,0.126016
50.45,70,-0.0239067,0.126683
50.9,30,-0.00395033,-0.0526233
50.9,30.2,-0.00405783,-0.0513717
50.9,30.4,-0.00416526,-0.0501259
50.9,30.6,-0.00427261,-0.0488858
50.9,30.8,-0.00437987,-0.0476514
50.9,31,-0.00448705,-0.0464226
50.9,31.2,-0.00459415,-0.0451993
50.9,31.4,-0.00470116,-0.0439815
50.9,31.6,-0.00480809,-0.0427692
50.9,31.8,-0.00491493,-0.0415623
50.9,32,-0.00502169,-0.0403607
50.9,32.2,-0.00512835,-0.0391644
50.9,32.4,-0.00523493,-0.0379734
50.9,32.6,-0.00534141,-0.0367875
50.9,32.8,-0.00544781,-0.0356068
50.9,33,-0.00555411,-0.0344312
50.9,33.2,-0.00566031,-0.0332606
50.9,33.4,-0.00576643,-0.032095
50.9,33.6,-0.00587245,-0.0309343
50.9,33.8,-0.00597837,-0.0297786
50.9,34,-0.0060842,-0.0286277
50.9,34.2,-0.00618993,-0.0274816
50.9,34.4,-0.00629556,-0.0263403
50.9,34.6,-0.00640109,-0.0252037
50.9,34.8,-0.00650652,-0.0240717
50.9,35,-0.00661185,-0.0229445
50.9,35.2,-0.00671708,-0.0218218
50.9,35.4,-0.00682221,-0.0207037
50.9,35.6,-0.00692723,-0.0195901
50.9,35.8,-0.00703215,-0.018481
50.9,36,-0.00713696,-0.0173763
50.9,36.2,-0.00724167,-0.016276
50.9,36.4,-0.00734628,-0.0151801
50.9,36.6,-0.00745078,-0.0140886
50.9,36.8,-0.00755517,-0.0130013
50.9,37,-0.00765945,-0.0119182
